taxon	lineage	probability	pangoLEARN_version	status	note
BSE14_SE1410282441	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410282425	B.1.177.21	1.0	2021-01-11	passed_qc	
BSE14_SE1410282418	B.1.1.7	1.0	2021-01-11	passed_qc	17/17 B.1.1.7 SNPs
BSE14_SE1410282414	None	0	2021-01-11	fail	N_content:1.0
BSE14_SE1410269076	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410248914	None	0	2021-01-11	fail	N_content:0.44
BSE14_SE1410248101	B.1.1.294	1.0	2021-01-11	passed_qc	
BSE14_SE1410247723	None	0	2021-01-11	fail	N_content:0.12
BSE14_SE1410247717	B.1.221	1.0	2021-01-11	passed_qc	
BSE14_SE1410247706	None	0	2021-01-11	fail	N_content:0.11
BSE14_SE1410247308	None	0	2021-01-11	fail	N_content:1.0
BSE14_SE1410244965	B.1.160.6	1.0	2021-01-11	passed_qc	
BSE14_SE1410244935	B.1.1.1	1.0	2021-01-11	passed_qc	
BSE14_SE1410244905	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410244856	B.1.221	1.0	2021-01-11	passed_qc	
BSE14_SE1410244801	None	0	2021-01-11	fail	N_content:1.0
BSE14_SE1410244800	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410238546	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410238534	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410238518	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410236021	B.1.177.21	1.0	2021-01-11	passed_qc	
BSE14_SE1410220495	B.1.177.7	1.0	2021-01-11	passed_qc	
BSE14_SE1410220206	B.1.221	1.0	2021-01-11	passed_qc	
BSE14_SE1410220169	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410169912	None	0	2021-01-11	fail	N_content:1.0
BSE14_SE1410169275	B.1.160	1.0	2021-01-11	passed_qc	
BSE14_SE1410167300	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410167290	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410167245	B.1.160	1.0	2021-01-11	passed_qc	
BSE14_SE1410167227	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410151876	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410150848	None	0	2021-01-11	fail	N_content:0.11
BSE14_SE1410150845	None	0	2021-01-11	fail	N_content:0.68
BSE14_SE1410150754	None	0	2021-01-11	fail	N_content:1.0
BSE14_SE1410150695	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410139216	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410127818	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410127814	B.1.177.7	1.0	2021-01-11	passed_qc	
BSE14_SE1410127077	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410116134	B.1.1.7	1.0	2021-01-11	passed_qc	17/17 B.1.1.7 SNPs
BSE14_SE1410116110	B.1.1.302	1.0	2021-01-11	passed_qc	
BSE14_SE1410116077	B.1.1.7	1.0	2021-01-11	passed_qc	17/17 B.1.1.7 SNPs
BSE14_SE1410114312	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410112870	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410112844	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410112828	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410112681	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410112677	B.1.1	1.0	2021-01-11	passed_qc	
BSE14_SE1410101122	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410076476	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410076471	B.1.221	1.0	2021-01-11	passed_qc	
BSE14_SE1410076465	B.1.1.7	1.0	2021-01-11	passed_qc	17/17 B.1.1.7 SNPs
BSE14_SE1410074911	B.1.160	1.0	2021-01-11	passed_qc	
BSE14_SE1410072834	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410072829	B.1.160	1.0	2021-01-11	passed_qc	
BSE14_SE1410072827	B.1.221	1.0	2021-01-11	passed_qc	
BSE14_SE1410069855	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410069846	B.1.36	1.0	2021-01-11	passed_qc	
BSE14_SE1410069036	None	0	2021-01-11	fail	N_content:0.52
BSE14_SE1410069034	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410068424	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410067981	B.1.221	1.0	2021-01-11	passed_qc	
BSE14_SE1410062947	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410062946	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410061538	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410059432	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410057531	B.1.221	1.0	2021-01-11	passed_qc	
BSE14_SE1410056142	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410055039	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410054158	B.1.160.6	1.0	2021-01-11	passed_qc	
BSE14_SE1410054144	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410041232	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410041189	B.1.177	1.0	2021-01-11	passed_qc	
BSE14_SE1410038682	B.1.177	1.0	2021-01-11	passed_qc	
